Водонепроницаемые поверхности (кровли и асфальтобетонные покрытия);0,33;0,95
Брусчатые мостовые и щебёночные покрытия;0,224;0,6
Булыжные мостовые;0,145;0,45
Щебёночные покрытия, не обработанные вяжущими материалами;0,125;0,4
Гравийные садово-парковые дорожки;0,09;0,3
Грунтовые поверхности (спланированные );0,064;0,2
Газоны;0,038;0,1
