A;nAbove065;nLess065
300;0.32;0.33
400;0.3;0.31
500;0.29;0.3
600;0.28;0.29
700;0.27;0.28
800;0.26;0.27
1000;0.25;0.26
1200;0.24;0.25
1500;0.23;0.24
